name,affiliation,citations,hindex,i10index,quality,n_ratings,easiness,department,college
"Andrews, Peter","Arthur Jackson Professor of Biomedical Science, The University of Sheffield",20610,70,174,3.9,9,2.1,Mathematics,CMU
"Scholl, Brian","Professor of Psychology and Cognitive Science, Yale University",12877,53,88,4.2,13,3.0,Psychology,Yale
"Tarjan, Robert","Professor of Computer Science, Princeton University",78789,112,291, ,0, ,Computer Science,Princeton
"Steif, Paul",Professor of Mechanical Engineering,3635,36,82,3.4,15,2.0,Engineering,CMU
"Church, Jeffrey","Department of Economics, University of Calgary",3380,16,20,4.8,5,4.2,Political Science,Duke
"Larry, Diamond",Stanford University,40594,82,212,5.0,2,2.5,Political Science,Stanford
"Schmidt, L","Professor, Mechanical Engineering University of Maryland",5740,27,55,4.2,3,1.3,English,CMU
"Arrington, Nathan",Princeton University,209,7,4, ,0, ,Art History,Princeton
"Duvall, Robert","Computer Science, Duke University",144,6,5,3.3,21,2.5,Computer Science,Duke
"Holt, Lori",Carnegie Mellon University,4819,36,65,4.2,12,3.1,Psychology,CMU
"Wright, Amy","Research Professor, Harbor Branch Oceanographic Instuitute, Florida Atlantic University",5383,40,102,5.0,1,3.0,History,UTexas
"Stearns, Frank",Johns Hopkins University,349,5,2,5.0,1,5.0,Biology,UTexas
"Montez, Noe",Associate Professor of Drama and Dance,5,2,0,5.0,3,3.7,Fine Arts,Tufts
"Durant, John","Associate Professor of Civil and Environmental Engineering, Tufts University",3301,29,51,4.3,5,2.8,Engineering,Tufts
"Unel, Bulent",Professor of Economics,1111,15,19,1.5,1,2.0,Economics,UTexas
"Richard, Lewis","Professor of Molecular & Cellular Physiology, Stanford University",23485,57,71,4.3,3,2.7,Film,UTexas
"Kale, David","Senior Machine Learning Scientist, Netflix",1532,16,21,1.0,1,1.0,Computer Science,Stanford
"Rectenwald, Michael",New York University,131,6,4,3.7,12,3.2,English,CMU
"Scala, Elizabeth","Professor of English, University of Texas",380,10,11,3.1,5,2.2,English,UTexas
"Martin, William","Professor of Molecular Evolution, University of Düsseldorf",34610,90,253,4.9,6,2.3,Sociology,Rice
"MacKay, John",University of Oxford,7810,48,90,3.1,5,3.8,Film,Yale
"Ketrez, Nihan",İstanbul Bilgi University,738,13,16,5.0,2,5.0,Near Eastern Studies,Yale
"Witchel, Emmett","Professor of Computer Science, The University of Texas at Austin",6682,36,60,4.0,1,3.0,Computer Science,UTexas
"Henderson, Marlone","Associate Professor of Psychology, University of Texas at Austin",2717,19,23,3.5,11,2.7,Psychology,UTexas
"Shamoo, Yousif","Professor of Biochemistry & Cell Biology, Rice University",3950,35,59,4.0,5,2.2,Biology,Rice
"Perry, William","University of California, San Diego",8602,52,105,4.0,3,3.7,International Studies,Stanford
"Wills, Derek","Honorary Senior Fellow in Computer Science, University of Hull",9742,13,13,3.0,23,2.0,Science,UTexas
"Cao, Caroline",Wright State University,2232,27,56,1.6,13,3.1,Engineering,Tufts
"Freed, Daniel","Professor of Mathematics, University of Texas at Austin",9142,42,69, ,0, ,Mathematics,UTexas
"Wilkinson, Robert",University of Cape Town;  Francis Crick Institute;   Imperial College London,26900,82,257,5.0,1,2.0,Not Specified,Tufts
"Bartalesi-Graf, Daniela",Wellesley College,17,3,0,4.9,4,3.2,Languages,Tufts
"Werner, Thomas","Associate Professor of Genetics and Developmental Biology, Michigan Technological University",2218,11,12,3.4,4,3.5,Philosophy,CMU
"McNinch, George","Professor of Mathematics, Tufts University",431,12,15,4.0,2,3.0,Mathematics,Tufts
"Lopez, Alberto",Universidad Complutense de Madrid,921,11,13,4.5,4,2.5,Mathematics,Tufts
"Ackerman, Frank",Synapse Energy Economics,5008,20,20,3.8,2,3.0,Political Science,Tufts
"Avraham, Ronen","Tel Aviv University,  Buchmann Faculty of Law",1405,20,24,3.8,2,3.5,Law,UTexas
"Pal, Jayanta","Former Professor, School of Electrical Sciences, IIT Bhubaneswar, Samanta Puri, Bhubaneswar- 751013",1084,17,27,1.0,2,1.0,Mathematics,Duke
"Fitzgerald, Michael","Trinity College, Dublin",11081,51,138,3.1,5,2.8,Chemistry,Duke
"McDonald, Ian",University of Waikato,7992,52,86,5.0,3,4.3,Political Science,Duke
"Austin, Kelly","Associate Professor of Sociology, Lehigh University",477,13,17,2.2,5,3.2,Languages,UChicago
"Neil, Daniel",BenevolentAI,1509,17,19, ,0, ,Mathematics,CMU
"Krackhardt, David",Carnegie Mellon University,26311,55,82,4.5,1,3.0,Management,CMU
"Anna, Shelley",Professor of Chemical Engineering,7680,26,42,4.2,3,2.7,Engineering,CMU
"Fiebrink, Rebecca",University of the Arts London,1493,20,34,4.5,1,3.0,Computer Science,Princeton
"Stevenson, Paul",University of Leipzig,2392,29,43,4.5,3,1.7,Physics,Rice
"Kennedy, Alan",US Army Engineer Research and Development Center (ERDC),3322,31,51,4.6,8,3.2,English,CMU
"Cohen, Sarah","Assistant Professor, UNC - Chapel Hill",1116,12,13,3.4,4,2.5,Public Policy,Duke
"Beer, Jennifer","Professor, University of Texas at Austin",12658,36,51,3.5,4,3.2,Psychology,UTexas
"Gonzalez, Elena","Instituto Gulbenkian de Ciência, Oeiras, Portugal",5207,23,26,3.8,3,2.7,Languages,Duke
"Zhang, BO",The First Affiliated Hospital of Nanjing Medical University,64825,110,1025,4.5,1,4.0,Computer Science,Duke
"Sheehan, Thomas","Professor, Stanford University",2180,23,49,3.9,8,2.5,Theology,Stanford
"Przybycien, Todd",Rensselaer Polytechnic Institute,3414,35,54,1.0,1,2.0,Engineering,CMU
"Miller, Earl","Picower Professor of Neuroscience, Massachusetts Institute of Technology",43246,73,119,4.3,3,3.3,Psychology,MIT
"Rosa, Luis","Dept. Physics and Electronics, University of Puerto Rico - Humacao",803,17,26,3.1,4,3.5,Writing,Duke
"White, Charles","Professor of Pathology, University of Texas Southwestern Medical Center",18755,68,157,3.9,17,2.8,Economics,Tufts
"Norman, George","Department of Economics, Tufts University",6228,35,73,3.8,42,3.3,Economics,Tufts
"Chudgar, Neil",independent scholar,15,1,1,4.2,9,2.2,English,UChicago
"El Gamal, Mahmoud","Professor of Economics, Rice University",3885,24,40, ,0, ,Economics,Rice
"Hoyle, Rick","Professor of Psychology, Duke University",28089,67,122,2.5,1,4.0,Psychology,Duke
"Guestrin, Carlos","Amazon Professor of Machine Learning, University of Washington",34102,71,134,4.0,1,1.0,Computer Science,CMU
"Jiang, Frank","Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm",67,2,1,4.9,4,3.5,Languages,Duke
"Daly, Ann","Professor of Pharmacogenetics, Newcastle University",31490,89,238,1.2,4,1.5,Theater,UTexas
"Dolan, Jill","Annan Professor of English and Theatre, Princeton University",4083,23,32,1.3,3,1.7,Theater,UTexas
"Padilla, Yolanda","Professor, University of Texas at Austin",1736,22,31,4.2,3,4.3,Social Work,UTexas
"Laughlin, David","ALCOA Professor of Physical Metallurgy, Materials Science and Engineering, Carnegie Mellon",18087,62,319,5.0,1,5.0,Engineering,CMU
"Slavick, Susanne",Carnegie Mellon,2,1,0,4.5,1,3.0,Fine Arts,CMU
"Young, Daniel","Assistant Professor of Political Science, Georgia State University",691,9,8, ,0, ,Law,UTexas
"Mohanan, Manoj","Associate Professor, Sanford School of Public Policy, Duke University",1065,11,12,2.0,1,3.0,Public Policy,Duke
"Conitzer, Vincent",Duke University,10689,57,146,4.0,1,3.0,Computer Science,Duke
"Marcellino, William","Senior Behavioral & Social Scientist, RAND Corp.",270,8,7,3.0,2,2.0,English,CMU
"Chandler, James",Zymergen,901,9,9, ,0, ,English,UChicago
"Golan, Limor","Associate Professor, Department of Economics, Washington University in St. Louis",568,9,9,2.8,4,3.2,Economics,CMU
"Beevers, Christopher",University of Texas at Austin,7716,45,98,5.0,3,3.0,Psychology,UTexas
"Bishop, Robert",The University of South Florida,11296,31,69,3.0,2,1.5,Philosophy,Rice
"Elga, Adam","Professor of Philosophy, Princeton University",2481,15,16,5.0,1,2.0,Philosophy,Princeton
"Verdi, Rodrigo",MIT Sloan School of Management,8166,22,27,5.0,2,4.0,Accounting,MIT
"Hyde, Susan","Professor of Political Science, University of California, Berkeley",2821,19,23, ,0, ,Political Science,Yale
"Golman, Russell","Department of Social and Decision Sciences, Carnegie Mellon University",974,15,20,3.2,2,3.0,Social Science,CMU
"Gonzalez, Silvia","PhD Student, University of Ottawa, Healthy Active Living and Obesity Research Group",897,14,17,1.5,3,1.7,Spanish,Duke
"Akat, Muzaffer",Ozyegin University,35,3,2,3.8,2,3.0,Finance,CMU
"Widom, Michael","Professor of Physics, Carnegie Mellon University",4712,40,88,2.0,3,3.0,Physics,CMU
"Panzer, Matthew","Associate Professor of Chemical & Biological Engineering, Tufts University",3601,26,37,5.0,5,3.4,Engineering Chemistry,Tufts
"Ross, Carolyn","Professor of Food Science, Washington State University",3039,29,66,3.3,8,3.0,English,Stanford
"Pikhurko, Oleg",University of Warwick,1675,23,57,3.5,1,1.0,Mathematics,CMU
"Little, Thomas","Electrical and Computer Engineering, Boston University",9490,46,131,4.6,13,3.7,History,Harvard
"Linnenbrink-Garcia, Lisa",Michigan State University,10526,39,57,3.2,6,2.3,Education,Duke
"Tripathy, Chittaranjan","Principal Data Scientist, Walmart Labs",96,5,4,2.5,1,3.0,Computer Science,Duke
"Fitzpatrick, James","Professor, Washington University in St Louis",4882,25,34,4.4,6,4.3,Languages,Duke
"MacLachlan, Scott","Professor, Memorial University of Newfoundland",1649,22,40,4.2,4,3.5,Mathematics,Tufts
"Ludwig, Jonathan",imec,822,11,11,5.0,4,3.2,Languages,Rice
"Starobin, Shana","Assistant Professor of Government and Environmental Studies, Bowdoin College",108,3,2,5.0,1,3.0,Public Policy,Duke
"Levine, Stephen","University of Haifa, Israel",3757,33,74,2.0,3,2.3,Engineering,Tufts
"Amador, Manuel",University of Minnesota and Federal Reserve Bank of Minneapolis,2328,18,20, ,0, ,Economics,Stanford
"Pena-Mora, Feniosky",Columbia University,6397,45,117,1.1,5,1.6,Engineering,MIT
"Gupta, Anupam","Professor of Computer Science, Carnegie Mellon University",9423,53,146,3.0,2,1.0,Computer Science,CMU
"Hinrichs, Lars","Associate Professor of English Language & Linguistics, The University of Texas at Austin",749,11,15, ,0, ,English,UTexas
"Kane, Danielle",Purdue University,280,7,7,3.5,1,5.0,Writing,Duke
"Carter, Brigit",Duke University School of Nursing,293,7,7, ,0, ,Nursing,Duke
"Brown, Thomas","Rocky Mountain Research Station, U.S. Forest Service",12037,55,118,3.0,4,3.0,Psychology,Yale
"Law, Ricky","Adjunct Professor of Law, University of Notre Dame Australia",279,8,8,5.0,1,3.0,History,CMU
"Soluri, John","history department, Carnegie Mellon University",628,10,10,3.9,4,4.0,History,CMU
"Zhang, John",ECNU and NYU at Shanghai,22754,63,525, ,0, ,Engineering,UTexas
"Duncan, James","Professor of Biomedical Engineering, Radiology, Electrical Engineering, Yale University",16099,61,201,2.3,3,1.0,Engineering,Yale
"Yeung, Nick","Dept of Experimental Psychology, University of Oxford",12432,43,64,4.9,4,3.8,Psychology,CMU
"O'Hallaron, David","Professor of CS and ECE, Carnegie Mellon University",6029,38,74,4.8,3,3.3,Computer Science,CMU
"Taylor, Lowell","H. John Heinz III Professor of Economics, Carnegie Mellon University",8397,41,68,4.7,6,3.3,Economics,CMU
"Brunye, Tad","Senior Cognitive Scientist, US Army; Visiting Associate Professor, Tufts U; Program Manager, cABCS",3641,30,80,4.1,7,2.9,Psychology,Tufts
"Lawrence, Mark","Wissenschaftlicher Direktor, Institute for Advanced Sustainability Studies (IASS-Potsdam)",17151,65,144,3.1,5,2.6,History,UTexas
"Cross, Troy","Department of Cardiovascular Diseases, Mayo Clinic, USA",290,12,13,5.0,1,3.0,Philosophy,Yale
"Smith, David","University of Western Australia, PathWest Laboratory Medicine WA",37390,83,609,4.5,2,2.0,Engineering,Duke
"Abrahamson, Michael","Georgia Institute of Technology, University of Florida",613,7,5,4.5,1,2.0,Physical Education,Harvard
"Biehl, Joao","Professor of Anthropology, Princeton University",6647,35,47,5.0,1,3.0,Anthropology,Princeton
"Zakon, Harold","Department of Neuroscience, University of Texas, Austin",5072,43,102,3.5,3,2.3,Biology,UTexas
"Hendrickson, Chris","University Professor of Engineering, Carnegie Mellon University",13945,57,163,3.5,1,3.0,Engineering,CMU
"Gross, James","Professor of Psychology, Stanford University",130162,149,395,4.6,16,3.5,Psychology,Stanford
"Brown, Derek",Scottish Reference Laboratory,4932,34,62,2.5,1,2.0,Economics,Duke
"Mowry, Todd","Professor of Computer Science, Carnegie Mellon University",10119,54,93,2.2,2,4.0,Computer Science,CMU
"Buchanan, Bruce","University Professor of Computer Science, University of Pittsburgh",52375,72,199,4.6,7,3.0,Political Science,UTexas
"King, Sarah","Reader in Behavioural Neuroscience, University of Sussex",2405,25,31,4.6,5,3.0,English,Tufts
"Wynn, James","Professor of Pediatrics, Pathology, Immunology, and Laboratory Medicine, University of",3737,29,50,5.0,2,2.5,English,CMU
"Tomlin, Claire",UC Berkeley,20958,64,265,4.3,3,3.3,Engineering,Stanford
"Schwartz, Jeffrey",UCLA,13524,37,51,3.8,7,3.4,Science,Princeton
"Touretzky, David","Professor of Computer Science, Carnegie Mellon University",11534,48,113,2.5,3,2.0,Computer Science,CMU
"Peterson, Jeffrey",Fox Chase,4190,32,46,2.4,6,2.7,Physics,CMU
"Malewitz, Raymond","Associate Professor of English, Oregon State University",85,6,4, ,0, ,English,Yale
"Williams, Christine","Professor of Political Science, Bentley University",2804,25,43,2.9,10,2.3,Sociology,UTexas
"Polansky, Susan",Carnegie Mellon University,70,4,2,4.9,4,2.8,Languages,CMU
"Sterman, John",MIT Sloan School of Management,42549,72,147,5.0,3,2.3,Management,MIT
"Mueller, Peter","Professor Statistics, University of Texas",14599,56,186,4.5,1,2.0,Chemistry,MIT
"Chidsey, Chris",Zugehörigkeit unbekannt,25832,64,111,3.2,9,2.4,Chemistry,Stanford
"Iwen, Mark",Michigan State University,1437,19,29,3.5,3,3.3,Mathematics,Duke
"Semmelhack, Martin","Professor of Chemistry, Princeton University",13859,70,160,3.8,9,2.1,Science,Princeton
"Park, Jeffrey","Department of Geology & Geophysics, Yale University",8616,54,113, ,0, ,Geology,Yale
"Georgakoudi, Irene","Professor, Tufts University",10018,49,105,2.5,4,1.5,Engineering,Tufts
"Reich, Rob","Professor of Political Science, Stanford University",2816,26,41,4.9,6,3.3,Political Science,Stanford
"Becker, Gary",University of Chicago,275122,106,355,4.8,6,2.7,Economics,UChicago
"Klausner, Michael",Stanford University,3884,20,28,3.4,6,2.7,Law,Stanford
"Mendez, Danny",Michigan State University,59,3,1,5.0,1,4.0,Languages,UTexas
"Holahan, ","Professor of Health Behavior & Health Education, The University of Texas at Austin",6806,37,61,4.3,6,2.5,Psychology,UTexas
"Babus, Ana",Washington University in St. Louis,2219,7,7,1.0,1,1.0,Economics,Princeton
"Zhou, Xin",St. Jude Children's Research Hospital,11500,27,35,1.6,15,1.7,Mathematics,Duke
"Williams, Robert","Reader in Molecular and Cellular Neuroscience, University of Bath, UK",8558,37,63, ,0, ,Pharmacy,UTexas
"Prucnal, Paul","Professor of Electrical Engineering, Princeton University",13676,53,277,5.0,3,3.3,Engineering,Princeton
"Barbastathis, ","Professor of Mechanical Engineering, Massachusetts Institute of Technology",8063,47,143,2.5,4,3.0,Engineering,MIT
"Anderson, David","Professor, Colorado State University",103492,70,153,5.0,4,3.2,Mathematics,Duke
"Anderson, John","Professor of Psychology, Carnegie Mellon University",140827,144,581,4.2,2,2.0,Geology,Rice
"Spenner, Kenneth","Professor of Sociology, Duke University",2582,21,33, ,0, ,Marketing,Duke
"Zhu, Jimmy","ABB Professor of Engineering, Carnegie Mellon University",35839,78,831,3.8,7,2.9,Engineering,CMU
"Aldrich, Eric","University of California, Santa Cruz",559,10,10,3.1,5,3.2,Economics,Duke
"Achim, Catalina","Professor of Chemistry, Carnegie Mellon University",2904,30,47,3.5,1,3.0,Chemistry,CMU
"Henkelman, Graeme","Professor of Chemistry, University of Texas",38962,60,172,2.3,3,1.3,Chemistry,UTexas
"London, Alex",Carnegie Mellon University,2103,28,49,3.0,1,2.0,Philosophy,CMU
"Srinivasan, Balaji",Stanford University,4082,19,24,4.8,2,2.5,Biology,Stanford
"Guyer, Samuel",Tufts University,3505,22,29,4.1,5,3.8,Computer Science,Tufts
"White, Steven","Distinguished Professor of Physics, University of California, Irvine",29965,76,155,5.0,1,3.0,Philosophy,UTexas
"McDaniel, ","William L. Weiss Professor, Computer Science and Engineering, Penn State Unviersity",28209,70,167,3.5,10,3.7,History,UTexas
"Sanchez, Juan","Florida International University, Mgmt. and Int'l Business",10308,46,76,4.8,2,1.5,Languages,Duke
"Barron, Andrew","Professor of Statistics, Yale University",21141,42,77,4.8,3,2.7,Chemistry,Rice
"Atkinson, Jennifer",University of Pittsburgh,838,11,12,5.0,1,4.0,English,UChicago
"Rosenblum, Charles","Merck & Co., Inc.",5049,23,27,3.2,2,3.5,Art History,CMU
"Holmgren, Beth",Duke University,446,12,14,4.9,7,3.9,Not Specified,Duke
"Moerner, W. E.","Harry S. Mosher Professor of Chemistry, Stanford University",41577,95,294,3.2,2,3.5,Chemistry,Stanford
"Boadu, Fred",Professor civil engineering,766,15,16, ,0, ,Engineering,Duke
"Miller, Neil",UC Santa Cruz,3210,17,20,3.5,10,3.0,English,Tufts
"Doherty, Brian",Doherty Biomechanics,3750,24,29,3.4,15,3.3,English,UTexas
"Asheghi, Mehdi","Adjunct Professor of Mechanical Engineerig, Stanford University",8270,42,109,1.9,7,2.4,Engineering,CMU
"Fichman, Mark","Emeritus Associate Professor of Organizational Behavior and Theory, Carnegie Mellon University",7708,22,23,3.1,7,2.9,Business,CMU
"Dilts, Andrew","Associate Professor of Political Science, Loyola Marymount University",439,9,9, ,0, ,Social Science,UChicago
"Parent, Sabrina","Research Associate, FNRS ULB",43,3,2,3.5,3,3.7,Languages,UTexas
"Minehardt, Todd",AIM2,289,10,10,1.8,3,2.0,Chemistry,UTexas
"Mitchell, Felicia","Assistant Professor, School of Social Work, Arizona State University",106,5,4,3.9,8,3.2,English,Harvard
"Siegler, Robert","Professor of Psychology, Carnegie Mellon University",47612,106,251,2.0,1,4.0,Psychology,CMU
"Williams, Nick","Professor of International Security, Politics and International Studies, University of Warwick",3683,28,38,5.0,3,2.7,Psychology,CMU
"Benson, Sally",Stanford University,10286,54,152, ,0, ,Engineering,Stanford
"Goldman, Wendy","Professor of History, Carnegie Mellon University",1335,13,14,5.0,2,3.0,History,CMU
"Jones, Robert","Professor of Engineering Science and Mechanics, Virginia Tech",36264,69,512,5.0,4,4.2,Philosophy,Stanford
"Hasselblatt, Boris",Tufts University,7001,18,24,4.1,16,2.7,Mathematics,Tufts
"Kiesler, Sara","Emeritus Hillman Professor of Computer Science and Human Computer Interaction, Carnegie Mellon",62016,99,207,3.5,1,3.0,Computer Science,CMU
"Raymond, Christopher","Professor in Sustainability Science at HELSUS, University of Helsinki",7478,37,55,4.0,1,4.0,Philosophy,UTexas
"Clark, John","Columbia University, American Economic Association",9221,29,66, ,0, ,Engineering,Rice
"Urry, Heather",Tufts University,7103,26,38,3.9,8,3.6,Psychology,Tufts
"Obodaru, Otilia",Bath University,485,8,7,4.0,1,3.0,Business,Rice
"Lincove, Jane","University of Maryland, Baltimore County",842,16,23, ,0, ,Not Specified,UTexas
"Byrne, Susan",University of Western Autralia,5298,38,73, ,0, ,Not Specified,Yale
"Remick, Elizabeth","Associate Professor of Political Science, Tufts University",224,6,6,3.8,17,2.9,Political Science,Tufts
"Hallock, ","Professor of Marine Science, University of South Florida",10091,51,133,5.0,1,3.0,Engineering,UTexas
"Fisher, Eric","Professor of Economics, California Polytechnic State University",1408,19,29,3.5,4,3.0,Architecture,CMU
"Ly, Jennifer","University of California, San Francisco",225,5,4, ,0, ,Computer Science,Stanford
"Kroener, Sven","Associate Professor for Neuroscience, The University of Texas at Dallas",2398,24,32,4.5,1,3.0,Not Specified,UTexas
"Roberts, Jason",University of Queensland,34794,88,503,4.5,1,3.0,Languages,UTexas
"Pena, Jorge","Associate professor, University of California, Davis",1822,19,26,4.2,2,3.0,Communication,UTexas
"Bennett, Daniel","Research Professor, Baylor University",558,13,17,4.0,1,2.0,Social Science,UChicago
"Danks, David","L. L. Thurstone Professor of Philosophy & Psychology, Carnegie Mellon University",2815,23,39,4.0,2,3.0,Philosophy,CMU
"Arora, Sanjeev","Professor of Computer Science, Princeton University",21157,61,106,2.5,4,2.0,Computer Science,Princeton
"Nunes, Rodrigo","Professor de Biologia Evolutiva do Desenvolvimento, UFRJ",2037,16,21, ,0, ,Government,UTexas
"Walker, Graham","American Cancer Society Professor, Massachusetts Institute of Technology",44014,96,298,5.0,7,4.7,Biology,MIT
"Hines, Eric","Professor of Practice, Tufts University",732,14,26,3.9,6,1.8,Engineering,Tufts
"Klemanski, David","Yale University, Columbia University",917,11,11,4.7,13,3.4,Psychology,Yale
"Turner, J",The Ohio State University,5772,36,78,2.6,6,1.7,Physics,UTexas
"Shirazi, Faegheh","Professor Middle Eastern Studies, University of Texas at Austin",1477,17,34,4.4,4,2.5,Humanities,UTexas
"Debenedetti, Pablo","Professor of Chemical and Biological Engineering, Princeton University",33293,87,253,4.8,9,2.9,Engineering,Princeton
"Faulk, Karen",UPMC,153,5,4,4.0,1,3.0,History,CMU
"Rogers, John","Simpson/Querrey Professor, Northwestern University",124102,173,830, ,0, ,Finance,Stanford
"Skowronek, Stephen",Yale University,7220,21,33, ,0, ,Political Science,Yale
"Chan, Anthony A","Li Shu Fan Medical Foundation Professor of Clinical Oncology,The Chinese University of Hong Kong",26588,83,252,2.5,1,1.0,Physics,Rice
"Wiley, Benjamin","Professor of Chemistry, Duke University",25361,65,100,3.7,3,3.7,Chemistry,Duke
"Kitschelt, Herbert","Professor of Political Science, Duke University",26469,59,107,3.5,3,2.0,Political Science,Duke
"Allen, ",University of Reading,140,6,5, ,0, ,Biology,UTexas
"Gonzalez, ",Universidad de Oviedo - Grupo Modelización Matemática Aplicada,44192,79,196,3.2,5,3.6,Chemistry,UTexas
"Nordhaus, William",Yale University,67974,112,318,3.8,6,2.5,Economics,Yale
"Win, Moe","NASA Jet Propulsion Laboratory, AT&T Research Labs, Massachusetts Institute of Technology (MIT)",37552,85,288,4.3,5,4.2,Engineering,MIT
"Kurnikova, Maria","Associate Professor of Chemistry, Carnegie Mellon University",1991,22,38,2.0,1,2.0,Chemistry,CMU
"Sanayei, Masoud","Tufts University, CEE Department",2225,22,39,4.3,6,3.2,Engineering,Tufts
"Yamamoto, Hisashi","Chubu Univ, Univ of Chicago, Nagoya Univ, Univ of Hawaii, Kyoto Univ, Harvard Univ",61068,115,883, ,0, ,Chemistry,UChicago
"Schroeder, Jonathan","William A. Kern Professor, Rochester Institute of Technology",7256,38,79,2.5,1,2.0,English,UChicago
"Lechler, Terry",Duke University,3341,25,34,4.5,1,2.0,Biology,Duke
"Adler, Eric",Professor of Medicine University of California San Diego,3472,19,29,4.2,14,2.9,Classics,Duke
"Smith-Lovin, Lynn","Robert L. Wilson Professor of Arts and Sciences, Duke University",25873,40,62,5.0,1,3.0,Sociology,Duke
"Fair, Richard","Professor of Electrical Engineering, Duke University",17096,66,153,3.7,3,3.0,Engineering,Duke
"Ciperiani, Mirela",University of Texas at Austin,100,5,4,1.5,1,2.0,Mathematics,UTexas
"Orians, Colin","Professor of Biology, Tufts University",4983,42,90,3.4,4,3.0,Science,Tufts
"Verplank, ",Stanford University,2451,15,19, ,0, ,Computer Science,Stanford
"Sikkema, Kathleen",Professor of Psychology and Global Health,11596,58,183,4.5,1,3.0,Psychology,Duke
"Habib, Muhammad","Professor, COMSATS University Islamabad.",383,8,8,4.2,3,2.0,Languages,Duke
"Ananat, Elizabeth","Associate Professor of Public Policy and Economics, Sanford School of Public Policy, Duke University",1448,16,17,3.5,5,1.8,Public Policy,Duke
"Miller, Patricia","Professor of Psychology, San Francisco State University",22475,49,118,3.0,1,4.0,Literature,Duke
"Skibba, Candace","Associate Teaching Professor, Department of Modern Languages, Carnegie Mellon University",1,1,0,4.8,2,3.5,Languages,CMU
"George, Linda","Professor of Sociology, Duke University",51564,111,283,4.3,27,3.6,Sociology,Duke
"Fink, Eric","Associate Professor, Elon University School of Law",91,4,3,4.8,12,3.2,Law,Stanford
"Lane, Michael","Emory & Henry College, Chemistry Department",4193,31,65,5.0,4,3.2,Chemistry,Harvard
"Schmitt-Grohe, Stephanie","Professor of Economics, Columbia University",13754,39,55,2.9,4,1.5,Economics,Duke
"Smith, George",University of Bristol,244342,226,1561,4.2,10,2.0,Philosophy,Tufts
"Li, Fei-Fei","Professor of Computer Science, Stanford University",89170,99,228,4.0,1,2.0,Computer Science,Princeton
"Lynch, Scott","Professor of Sociology, Duke University",5014,27,31,4.5,1,2.0,Sociology,Princeton
"Cohen, Steven",Northeastern University,10762,43,97,4.6,26,3.6,Education,Tufts
"Whitehead, Kathryn A","Associate Professor of Chemical Engineering, Carnegie Mellon University",6130,26,36, ,0, ,Engineering,CMU
"Carrasquel, Jacobo","Associate Teaching Professor, School of Computer Science, Carnegie Mellon University",67,4,2,3.4,11,3.4,Computer Science,CMU
"Sinopoli, Bruno","Electrical and Systems Engineering, Washington University in St Louis",13357,50,104, ,0, ,Engineering,CMU
"Lahiri, Madhumita",University of Michigan,33,3,2,3.2,2,4.5,English,Duke
"Georgiou, George",University of Texas at Austin,29326,97,286, ,0, ,Engineering,UTexas
"Garza, Thomas",University of Texas at Austin,1527,7,6,5.0,9,3.4,Languages,UTexas
"Fitzpatrick, Brian","Professor of Law, Vanderbilt Law School",867,14,14,4.2,3,2.3,Mathematics,Duke
"Burkett, Andrew","MD, Division of Resipirology, The Ottawa Hospital",118,4,4,5.0,2,2.0,English,Duke
"Zwierlein, Martin","Professor of Physics, Massachusetts Institute of Technology",14387,43,54, ,0, ,Physics,MIT
"Morgan, S. Philip","Director, Carolina Population Center & Professor of Sociology, UNC-CH",16081,62,118,3.8,4,2.8,Sociology,Duke
"Frame, David",University of Michigan,935,15,19,3.2,5,3.8,Economics,CMU
"Ritivoi, Andreea","Professor of English, Carnegie Mellon University",471,9,9,5.0,3,3.3,English,CMU
"Garvin, Alexander",University of Birmingham,437,7,7,3.8,3,3.0,Urban Studies,Yale
"Sun, Tai-Ping",Duke University,15409,49,59,2.2,10,3.0,Biology,Duke
"Fox, Justin",Wright Patterson Medical Center,1036,17,25, ,0, ,Political Science,Yale
"Wechsler, Risa","Professor of Physics, Stanford University",31750,89,233, ,0, ,Physics,Stanford
"Proctor, David","Professor of Kinesiology, Physiology, and Medicine",9208,40,62,5.0,28,3.6,Classics,Tufts
"Soibelman, Lucio",所属不明,4242,35,74,2.9,6,3.7,Engineering,CMU
"Voldman, Joel","Professor of Electrical Engineering, Massachusetts Institute of Technology",7992,40,73,4.0,1,2.0,Engineering,MIT
"Williams, Robert","Reader in Molecular and Cellular Neuroscience, University of Bath, UK",8558,37,63,4.5,1,4.0,Philosophy,Duke
"Fisher, Robert","Professor of Informatics, University of Edinburgh",14734,48,175, ,0, ,Medicine,Stanford
"Freudenriech, Catherine","Professor of Biology, Tufts University",2477,25,34,3.5,1,2.0,Biology,Tufts
"Tilton, Robert","Professor of Chemical Engineering and Biomedical Engineering, Carnegie Mellon University",12381,56,110,4.0,1,4.0,Engineering,CMU
"Ferraro, Thomas",Rowan University,5924,39,103,3.7,23,2.2,English,Duke
"Kelley, Wyn",Massachusetts Institute of Technology,490,9,9,4.0,1,3.0,Literature,MIT
"Muschkin, Clara","Associate Research Professor, Duke University",883,14,17, ,0, ,Public Policy,Duke
"Dugan, Brandon","Department of Geophysics, Colorado School of Mines",3990,31,65,5.0,2,3.5,Geology,Rice
